nohup: ignoring input
INFO:albumentations.check_version:A new version of Albumentations is available: 1.4.20 (you have 1.4.12). Upgrade using: pip install -U albumentations. To disable automatic update checks, set the environment variable NO_ALBUMENTATIONS_UPDATE to 1.

  0%|          | 0/67 [00:00<?, ?it/s]
[Epoch 1]:   0%|          | 0/67 [00:27<?, ?it/s]
[Epoch 1]:   1%|▏         | 1/67 [00:29<32:45, 29.78s/it]
[Epoch 1]:  76%|███████▌  | 51/67 [02:40<00:40,  2.53s/it, Cls loss=0.666, Angle loss=0.497, IoU loss=1.18]
[Epoch 1]:  78%|███████▊  | 52/67 [02:41<00:31,  2.10s/it, Cls loss=0.666, Angle loss=0.497, IoU loss=1.18]
[Epoch 1]:  78%|███████▊  | 52/67 [02:41<00:31,  2.10s/it, Cls loss=0.669, Angle loss=0.156, IoU loss=1.17]
[Epoch 1]:  78%|███████▊  | 52/67 [02:41<00:31,  2.10s/it, Cls loss=0.669, Angle loss=0.156, IoU loss=1.17]
[Epoch 1]:  79%|███████▉  | 53/67 [02:42<00:25,  1.82s/it, Cls loss=0.669, Angle loss=0.156, IoU loss=1.17]
[Epoch 1]:  79%|███████▉  | 53/67 [02:42<00:25,  1.82s/it, Cls loss=0.63, Angle loss=0.337, IoU loss=1.3]  
[Epoch 1]:  79%|███████▉  | 53/67 [02:55<00:25,  1.82s/it, Cls loss=0.63, Angle loss=0.337, IoU loss=1.3]
[Epoch 1]:  81%|████████  | 54/67 [02:56<01:08,  5.25s/it, Cls loss=0.63, Angle loss=0.337, IoU loss=1.3]
[Epoch 1]:  81%|████████  | 54/67 [02:56<01:08,  5.25s/it, Cls loss=0.659, Angle loss=0.602, IoU loss=1.28]
[Epoch 1]:  81%|████████  | 54/67 [02:56<01:08,  5.25s/it, Cls loss=0.659, Angle loss=0.602, IoU loss=1.28]
[Epoch 1]:  82%|████████▏ | 55/67 [02:57<00:47,  4.00s/it, Cls loss=0.659, Angle loss=0.602, IoU loss=1.28]
[Epoch 1]:  82%|████████▏ | 55/67 [02:57<00:47,  4.00s/it, Cls loss=0.616, Angle loss=0.397, IoU loss=1.13]
[Epoch 1]:  82%|████████▏ | 55/67 [02:57<00:47,  4.00s/it, Cls loss=0.616, Angle loss=0.397, IoU loss=1.13]
[Epoch 1]:  84%|████████▎ | 56/67 [02:58<00:34,  3.13s/it, Cls loss=0.616, Angle loss=0.397, IoU loss=1.13]
[Epoch 1]:  84%|████████▎ | 56/67 [02:58<00:34,  3.13s/it, Cls loss=0.616, Angle loss=0.29, IoU loss=1.32] 
[Epoch 1]:  84%|████████▎ | 56/67 [02:58<00:34,  3.13s/it, Cls loss=0.616, Angle loss=0.29, IoU loss=1.32]
[Epoch 1]:  85%|████████▌ | 57/67 [02:59<00:25,  2.51s/it, Cls loss=0.616, Angle loss=0.29, IoU loss=1.32]
[Epoch 1]:  85%|████████▌ | 57/67 [02:59<00:25,  2.51s/it, Cls loss=0.567, Angle loss=0.389, IoU loss=1.26]
[Epoch 1]:  85%|████████▌ | 57/67 [02:59<00:25,  2.51s/it, Cls loss=0.567, Angle loss=0.389, IoU loss=1.26]
[Epoch 1]:  87%|████████▋ | 58/67 [03:00<00:18,  2.08s/it, Cls loss=0.567, Angle loss=0.389, IoU loss=1.26]
[Epoch 1]:  87%|████████▋ | 58/67 [03:00<00:18,  2.08s/it, Cls loss=0.602, Angle loss=0.501, IoU loss=1.32]
[Epoch 1]:  87%|████████▋ | 58/67 [03:00<00:18,  2.08s/it, Cls loss=0.602, Angle loss=0.501, IoU loss=1.32]
[Epoch 1]:  88%|████████▊ | 59/67 [03:01<00:14,  1.78s/it, Cls loss=0.602, Angle loss=0.501, IoU loss=1.32]
[Epoch 1]:  88%|████████▊ | 59/67 [03:01<00:14,  1.78s/it, Cls loss=0.6, Angle loss=0.633, IoU loss=1.16]  
[Epoch 1]:  88%|████████▊ | 59/67 [03:01<00:14,  1.78s/it, Cls loss=0.6, Angle loss=0.633, IoU loss=1.16]
[Epoch 1]:  90%|████████▉ | 60/67 [03:02<00:11,  1.58s/it, Cls loss=0.6, Angle loss=0.633, IoU loss=1.16]
[Epoch 1]:  90%|████████▉ | 60/67 [03:02<00:11,  1.58s/it, Cls loss=0.666, Angle loss=0.872, IoU loss=1.22]
[Epoch 1]:  90%|████████▉ | 60/67 [03:02<00:11,  1.58s/it, Cls loss=0.666, Angle loss=0.872, IoU loss=1.22]
[Epoch 1]:  91%|█████████ | 61/67 [03:03<00:08,  1.43s/it, Cls loss=0.666, Angle loss=0.872, IoU loss=1.22]
[Epoch 1]:  91%|█████████ | 61/67 [03:03<00:08,  1.43s/it, Cls loss=0.681, Angle loss=0.482, IoU loss=1.43]
